		
item	legality	note
"acidophilus milk, commercial"	illegal	
agar-agar (gelatin made from seaweed)	illegal	"a thickener, among other things. "
agave syrup	illegal	
algae	illegal	aggravates an already disturbed immune system.
allspice	legal	"As long as you're just using Allspice as a cooking spice, it's legal. Don't use the oil."
almond butter	legal	almond butter w/ no added sugar
"almond milk, home made"	legal	<= 8 oz daily if consuming almond baked goods. May be tried after being on diet for 6 months.
almond oil	legal	
almonds	legal	"Nuts sold in mixtures are not allowed, as most are roasted with a starch coating."
aloe vera	illegal	It contains mucilaginous polysaccharides.
amaranth flour	illegal	A grain substitute that contains starches.
anchovies	legal	check label
apple cider	legal	from a local grower - w/o sugars. Cider should be diluted with water before drinking.
apple juice	illegal	poor labeling - unlisted sugars
apples	legal	
apricots	legal	
arrowroot	illegal	It is a mucilaginous herb.
artichoke	legal	french - not jerusalem which looks like a tuber
ascorbic acid (vitamin C)	legal	should be nothing but vitamin C
asiago cheese	legal	occasionally - not shredded / grated
asparagus	legal	
aspartame	legal	bad stuff - don't use it anyways
aspartic acid	legal	an amino acid
astragalus	illegal	
avocado oil	legal	Good for mayonnaise and salad dressings but might not withstand  heat very well
avocados	legal	
bacon	illegal/legal	Commercial smoked bacon that has been fried very crisply is allowed once per week. Sugar-free bacons do not have to be limited to once per week. Check the labels carefully.
baker's yeast	illegal	"aka: Saccharamyces cerevisae. In brewing, AKA ""top-fermenting yeast and sometimes ""ale yeast""."
baking powder	illegal	"Has starch as an ingredient,  (usually corn starch) and other illegals to make it rise better."
baking soda	legal	
balsamic vinegar	illegal/legal	"Cheap versions are imitation and illegal. Authentic balsamic vinegar is at least 18 years old and quite expensive, but legal. You can make your own - see www.scdrecipe.com."
bananas	legal	ripe with black spots beginning to appear on skin - no green ends
bark tea	illegal	acts as a laxative.
barley	illegal	
basil	legal	
bay leaf	legal	
bean flour	illegal	must be soaked before grinding - bought varieties are not.
bean sprouts	illegal	
bee pollen	illegal	Pollen is irritating  to a damaged gut. 
beef	legal	Fresh and frozen. Check the labels carefully for additives.
beer	illegal	
beets	legal	
berries of all kinds	legal	including blueberries
bhindi	illegal	"A mucilaginous food. Aka: okra,  drumsticks"
bitter gourd	illegal	
black azuki bean	illegal	"aka: black adzuki, black aduki, asuki"
"black beans - aka: black turtle, turtle, turtle soup bean, mexican black bean, spanish black bean, frijole negro."	legal	May be tried when symptom free. see prep guidelines in book
black eye beans	illegal	
